t (s),T0 (C),T1 (C)
2415,149,41
2420,150,41
2425,150,41
2430,150,41
2435,150,41
2440,150,41
2445,150,41
2450,149,41
2455,149,41
2460,149,40
2465,149,40
2470,149,40
2475,149,40
2480,150,40
2485,150,41
2490,150,40
2495,150,41
2500,149,41
2505,150,41
2510,150,41
2515,150,41
2520,149,40
2525,149,41
2530,149,40
2535,149,40
2540,149,40
2545,149,40
2550,149,41
2555,149,40
2560,149,40
2565,150,41
2570,150,41
2575,150,41
2580,150,40
2585,150,40
2590,149,40
2595,149,40
2600,149,40
2605,149,40
2610,149,40
2615,149,40
2620,149,40
2625,149,40
2630,150,40
2635,150,40
2640,150,40
2645,150,40
2650,149,40
2655,149,40
2660,149,40
2665,150,40
2670,149,40
2675,150,40
2680,150,40
2685,150,40
2690,150,40
2695,150,40
2700,149,40
2705,149,40
2710,149,40
2715,149,40
2720,149,40
2725,149,40
2730,149,40
2735,149,40
2740,149,40
2745,149,40
2750,149,40
2755,150,40
2760,150,40
2765,150,40
2770,149,40
2775,149,40
2780,149,40
2785,150,40
2790,149,40
2795,149,40
2800,149,40
2805,150,40
2810,150,40
2815,150,40
2820,149,40
2825,149,40
2830,149,40
2835,149,40
2840,149,40
2845,149,40
2850,149,40
2855,150,40
2860,150,40
2865,150,40
2870,150,40
2875,150,40
2880,150,40
2885,149,40
2890,149,40
2895,149,40
2900,149,40
2905,149,40
2910,149,40
2915,149,40
2920,149,40
2925,149,40
2930,150,40
2935,150,40
2940,150,40
2945,149,40
2950,149,40
2955,150,40
2960,150,40
2965,150,40
2970,149,40
2975,149,40
2980,149,40
2985,149,40
2990,150,40
2995,149,40
3000,149,40
3005,149,40
3010,149,40
3015,150,40
3020,150,40
3025,149,40
3030,150,40
3035,149,40
3040,149,40
3045,149,40
3050,150,40
3055,150,40
3060,150,40
3065,150,40
3070,149,40
3075,150,40
3080,149,40
3085,149,40
3090,149,40
3095,149,40
3100,149,40
3105,149,40
3110,149,40
3115,149,40
3120,150,40
3125,150,40
3130,150,40
3135,150,40
3140,149,40
3145,149,40
3150,149,40
3155,149,40
3160,149,40
3165,149,40
3170,150,40
3175,150,40
3180,150,40
3185,150,40
3190,150,40
3195,149,40
3200,149,40
3205,149,40
3210,150,40
3215,149,40
3220,149,40
3225,149,40
3230,149,40
3235,149,40
3240,149,40
3245,149,40
3250,150,40
3255,150,40
3260,150,40
3265,149,40
3270,149,40
3275,150,40
3280,150,40
3285,150,40
3290,150,40
3295,149,40
3300,149,40
3305,149,40
3310,150,40
3315,150,40
3320,150,40
3325,149,40
3330,150,40
3335,149,40
3340,149,40
3345,149,40
3350,149,40
3355,149,40
3360,149,40
3365,149,40
3370,149,40
3375,149,40
3380,150,40
3385,150,40
3390,150,40
3395,150,40
3400,150,40
3405,150,40
3410,149,40
3415,149,40
3420,149,40
3425,149,40
3430,149,40
3435,149,40
3440,149,40
3445,149,40
3450,149,40
3455,150,40
3460,150,40
3465,150,40
3470,150,40
3475,150,40
3480,150,40
3485,150,40
3490,149,40
3495,149,40
3500,149,40
3505,149,40
3510,149,40
3515,149,40
3520,149,40
3525,149,40
3530,149,40
3535,150,40
3540,150,40
3545,150,40
3550,150,40
3555,149,40
3560,149,40
3565,149,40
3570,149,40
3575,149,40
3580,149,40
3585,149,40
3590,150,40
3595,149,40
3600,149,40
3605,150,40
3610,150,40
3615,150,40
3620,150,40
3625,150,40
3630,149,40
3635,149,40
3640,149,40
3645,149,40
3650,149,40
3655,149,40
3660,149,40
3665,149,40
3670,149,40
3675,150,40
3680,150,40
3685,150,40
3690,150,40
3695,150,40
3700,150,40
3705,150,40
3710,149,40
3715,149,40
3720,149,40
3725,149,40
3730,148,40
3735,149,40
3740,149,40
3745,149,40
3750,149,40
3755,149,40
3760,149,40
3765,149,40
3770,149,40
3775,150,40
3780,150,40
3785,150,40
3790,150,40
3795,150,40
3800,150,40
3805,150,40
3810,150,40
3815,149,40
3820,149,40
3825,149,40
3830,149,40
3835,149,40
3840,149,40
3845,149,40
3850,149,40
3855,149,40
3860,149,40
3865,149,40
3870,149,40
3875,149,40
3880,150,40
3885,149,40
3890,150,40
3895,150,40
3900,150,40
3905,150,40
3910,149,40
3915,148,40
3920,148,40
3925,148,40
3930,148,40
3935,148,40
3940,148,40
3945,148,40
3950,148,40
3955,148,40
3960,148,40
3965,148,40
3970,148,40
3975,146,40
3980,144,40
3985,144,40
3990,144,40
3995,145,40
4000,145,40
4005,145,40
4010,145,40
4015,145,40
4020,145,40
4025,145,40
4030,145,40
4035,145,40
4040,145,40
4045,145,40
4050,145,40
4055,144,40
4060,144,40
4065,144,40
4070,144,40
4075,144,40
4080,143,40
4085,143,40
4090,143,40
4095,143,40
4100,143,40
4105,143,40
4110,142,40
4115,142,40
4120,142,40
4125,142,40
4130,142,40
4135,142,40
4140,141,40
4145,141,40
4150,141,40
4155,141,40
4160,141,40
4165,140,40
4170,140,40
4175,140,40
4180,140,40
4185,140,40
4190,140,40
4195,139,40
4200,139,40
4205,139,40
4210,139,40
4215,138,40
4220,138,40
4225,138,40
4230,138,40
4235,138,40
4240,137,40
4245,137,40
4250,137,40
4255,137,40
4260,136,40
4265,136,40
4270,136,40
4275,136,40
4280,136,40
4285,136,40
4290,136,40
4295,135,40
4300,135,40
4305,135,40
4310,135,40
4315,135,40
4320,135,40
4325,134,40
4330,134,40
4335,134,40
4340,134,40
4345,134,40
4350,133,40
4355,133,40
4360,133,40
4365,132,40
4370,132,40
4375,132,40
4380,132,40
4385,132,40
4390,132,40
4395,132,40
4400,132,40
4405,131,40
4410,131,40
4415,131,40
4420,131,40
4425,131,40
4430,131,40
4435,130,40
4440,130,40
4445,130,40
4450,129,40
4455,129,40
4460,129,40
4465,129,40
4470,129,40
4475,129,40
4480,129,39
4485,128,39
4490,128,39
4495,128,39
4500,128,39
4505,128,39
4510,127,39
4515,127,39
4520,127,39
4525,127,39
4530,127,39
4535,126,39
4540,126,39
4545,126,39
4550,126,39
4555,126,39
4560,126,39
4565,125,39
4570,125,39
4575,125,39
4580,125,39
4585,125,39
4590,124,39
4595,124,39
4600,124,39
4605,124,39
4610,124,39
4615,123,39
4620,123,39
4625,123,39
4630,123,39
4635,122,39
4640,122,39
4645,122,39
4650,122,39
4655,121,39
4660,121,39
4665,121,39
4670,121,39
4675,121,39
4680,121,39
4685,121,39
4690,121,39
4695,120,39
4700,120,39
4705,120,39
4710,120,39
4715,120,39
4720,119,39
4725,119,39
4730,119,39
4735,119,39
4740,119,39
4745,119,39
4750,118,39
4755,118,39
4760,118,39
4765,118,39
4770,118,39
4775,117,39
4780,117,39
4785,117,39
4790,117,39
4795,116,39
4800,116,39
4805,116,39
4810,116,39
4815,116,39
4820,115,39
4825,115,39
4830,115,39
4835,115,39
4840,115,39
4845,114,39
4850,114,39
4855,114,39
4860,114,39
4865,114,39
4870,114,39
4875,114,39
4880,113,39
4885,113,39
